epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.314,1.06192,4.2542,1.48938,0.03479,0.87996,0.1434,0.11182,0.81086,4.42024,1.2962,0.000109832,0.000109832,0.000109832
2,616.918,0.91993,3.64814,1.38966,0.32631,0.42522,0.37509,0.2958,0.912,3.7817,1.3348,0.000147957,0.000147957,0.000147957
3,916.606,0.90831,3.2624,1.37024,0.48933,0.42228,0.50861,0.39814,0.84265,3.34415,1.27403,0.000112823,0.000112823,0.000112823
